Date,Vegetable,Festival,Rainfall (in mm),Season,Inflation,Average of prev 5 days Potato,Potato Arrival (In Tonnes),Potato Price (Rounded)
1,5,1,0,8,0,2100,34.5,22
2,5,1,0,8,0,2200,42,22
3,5,1,0,8,0,2200,38.5,22
4,5,1,3,8,0,2200,30,28
5,5,1,0,8,0,2320,38.5,30
6,5,1,0,8,0,2480,32.5,30
7,5,1,0,8,0,2640,31,32
8,5,1,0,8,0,2840,38,32
9,5,1,0,8,0,3040,35,34
10,5,1,0,8,0,3160,33,34
11,5,1,0,8,0,3240,33,34
12,5,1,0,8,0,3320,35,34
13,5,1,0,8,0,3360,38,32
14,5,1,0,8,0,3360,38,32
15,5,1.6,0,8,0,3320,38,30
16,5,1.3,0,8,0,3240,38,28
17,5,1,0,8,0,3120,42,24
18,5,1,0,8,0,2920,38.5,24
19,5,1.3,0,8,0,2760,42,22
20,5,1.3,0,8,0,2560,38,22
21,5,1,0,8,0,2400,42,23
22,5,1.3,0,8,0,2300,42.5,23
23,5,1,0,8,0,2280,43.5,23
24,5,1,0,8,0,2260,38,23
25,5,1,0,8,0,2280,38.5,23
26,5,1,0,8,0,2300,39.6,23
27,5,1,0,8,0,2300,38.5,23
28,5,1,0,8,0,2300,42,23
29,5,1.3,1.2,8,0,2300,38,23
30,5,1.4,0.3,8,0,2300,38,22
31,5,1.3,0,8,0,2280,42,22
32,5,1,1.1,9,0.61,2260,42.5,22
33,5,1,1.2,9,0.61,2240,38.5,22
34,5,1.3,0,9,0.61,2220,42.5,24
35,5,1.3,0,9,0.61,2240,40,24
36,5,1,7.9,9,0.61,2280,40,24
37,5,1,15.7,9,0.61,2320,40,20
38,5,1,1.6,9,0.61,2280,38,18
39,5,1,6.7,9,0.61,2200,35,22
40,5,1,0.3,9,0.61,2160,38.5,24
41,5,1,0,9,0.61,2160,38.6,24
42,5,1,0,9,0.61,2160,42.5,20
43,5,1,0,9,0.61,2160,43.5,18
44,5,1,0,9,0.61,2160,38.5,18
45,5,1,0,9,0.61,2080,42,18
46,5,1,0,9,0.61,1960,45,18
47,5,1.3,0,9,0.61,1840,45,18
48,5,1.3,0,9,0.61,1800,45,17
49,5,1.3,0,9,0.61,1780,38.6,17
50,5,1,0,9,0.61,1760,42.5,16
51,5,1,0,9,0.61,1720,42.5,16
52,5,1.4,0,9,0.61,1680,42.5,17
53,5,1,0,9,0.61,1660,42,18
54,5,1,0,9,0.61,1680,38.5,18
55,5,1,0,9,0.61,1700,34.2,18
56,5,1.3,13.1,9,0.61,1740,36,16
57,5,1.3,0,9,0.61,1740,36,16
58,5,1,0,9,0.61,1720,42,16
59,5,1.3,0,9,0.61,1680,40,18
60,5,1,0,9,0.61,1680,45,18
61,5,1,0,10,0.61,1680,42,18
62,5,1.3,0,10,0.61,1720,36,17
63,5,1.1,0,10,0.61,1740,42.5,17
64,5,1,0,10,0.61,1760,42.5,17
65,5,1,6.1,10,0.61,1740,45,17
66,5,1,12.2,10,0.61,1720,42,18
67,5,1,0,10,0.61,1720,42,16
68,5,1,0.8,10,0.61,1700,42,18
69,5,1.25,4.9,10,0.61,1720,45,18
70,5,1.06,0,10,0.61,1740,48,18
71,5,1.3,0,10,0.61,1760,46,18
72,5,1,0,10,0.61,1760,44,18
73,5,1,0,10,0.61,1800,42,18
74,5,1,0,10,0.61,1800,44,18
75,5,1,0,10,0.61,1800,44,20
76,5,1,0,10,0.61,1840,45,18
77,5,1,0,10,0.61,1840,45,18
78,5,1,0,10,0.61,1840,45.2,18
79,5,1,0.3,10,0.61,1840,42.8,18
